"","id_sample","ab","mass","q0","q1","q2","HabitatAgricultural_area","HabitatArable_land","HabitatBuildings","HabitatCoastal","HabitatDeciduous","HabitatFew_no_vegetation","HabitatForest","HabitatForest_semi_natural_area","HabitatGardens","HabitatGrassland","HabitatParks","HabitatPasture_meadows","HabitatShrub_heatland","HabitatUrban_green_areas","HabitatArtificial_surface","HabitatPerenial","HabitatCaves","HabitatRunning_water_banks","HabitatInland","HabitatPeatbog","HabitatMineral_extraction_sites","HabitatSempervirent","HabitatCrop","HabitatOrchards","HabitatStanding_water_banks","HabitatFallow","HabitatDump","HabitatH","Body_length"
"64","ANI-21-0558"," 5","3.5186"," 3","2.828427","2.666667","0.008928571","0.026785714","0.000000000","0.016129032","0.07517281","0.00000000","0.23801843","0.27914747","0.008928571","0.13404378","0.00000000","0.035714286","0.008928571","0.000000000","0.01785714","0.01785714","0.00","0.008928571","0.057315668","0.00000000","0.000000000","0.00000000","0.00000000","0.008928571","0.008928571","0.00000000","0.04838710","2.5431758"," 67.70750"
"65","ANI-21-0569"," 2","1.1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","ANI-21-0580"," 2","1.0509"," 1","1.000000","1.000000","0.000000000","0.000000000","0.028571429","0.057142857","0.00000000","0.00000000","0.28571429","0.04285714","0.028571429","0.15714286","0.00000000","0.114285714","0.185714286","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.000000000","0.02857143","0.000000000","0.04285714","0.00000000","0.000000000","0.000000000","0.02857143","0.00000000","2.9563144"," 25.57773"
"67","ANI-21-0624","11","2.9054"," 3","2.460233","2.133333","0.000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.22727273","0.22727273","0.000000000","0.15151515","0.00000000","0.227272727","0.000000000","0.000000000","0.00000000","0.16666667","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","1.6506883"," 39.68750"
"68","ANI-21-0657"," 2","1.1110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","ANI-21-0668","20","4.6822"," 6","5.110746","4.567568","0.004716981","0.000000000","0.004716981","0.003144654","0.01886792","0.00000000","0.52957472","0.22821204","0.003144654","0.13319856","0.00000000","0.006289308","0.004716981","0.000000000","0.00000000","0.00000000","0.00","0.055555556","0.003144654","0.00000000","0.004716981","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","1.3269551"," 10.89583"
"70","ANI-21-0679","20","3.6573"," 4","2.672696","2.057143","0.000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.30000000","0.00000000","0.000000000","0.00000000","0.00000000","0.150000000","0.000000000","0.000000000","0.00000000","0.00000000","0.55","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","1.4060076"," 42.66667"
"71","ANI-21-0690"," 4","2.9608"," 2","2.000000","2.000000","0.000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.50000000","0.000000000","0.50000000","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","1.0000000"," 11.00000"
"72","ANI-21-0767"," 3","1.1300"," 1","1.000000","1.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 71.89000"
"73","ANI-21-0778"," 2","1.1910"," 1","1.000000","1.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 65.00000"
"74","ANI-21-0822"," 2","1.0760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","ANI-21-0888","18","6.1619"," 5","4.756828","4.571429","0.015151515","0.067340067","0.000000000","0.010752688","0.03225806","0.00000000","0.18768328","0.20180298","0.000000000","0.09726295","0.00000000","0.127946128","0.015151515","0.000000000","0.08585859","0.03367003","0.00","0.015151515","0.047409580","0.01515152","0.000000000","0.00000000","0.00000000","0.015151515","0.000000000","0.00000000","0.03225806","2.6883142"," 61.20200"
