"","IDsin","codeplot","ADJ","TILE","X_sin","Y_sin","X_wgs","Ywgs","ID","alti","grad","NDVImin","NDVImax"
"1141",12400421,"MON_1730","YES","h18v04",468062,4961268,5.91363,44.61771,"h18v04_12400421",1730,"MON",0.022,0.427
"1142",12390822,"MON_1970","YES","h18v04",468293,4961732,5.91698,44.62187,"h18v04_12390822",1970,"MON",0.002,0.298
"1144",12381223,"MON_2330","YES","h18v04",468525,4962195,5.92033,44.62604,"h18v04_12381223",2330,"MON",0,0.19
"1147",13509613,"MOU_1810","YES","h18v04",558871,4907756,7.00315,44.13646,"h18v04_13509613",1810,"MOU",0.022,0.761
"1148",13504809,"MOU_1940","YES","h18v04",557944,4907987,6.99178,44.13854,"h18v04_13504809",1940,"MOU",0.01,0.701
"1149",13495205,"MOU_2160","YES","h18v04",557018,4908451,6.98066,44.14271,"h18v04_13495205",2160,"MOU",0.014,0.525
"1151",13480802,"MOU_2470","YES","h18v04",556323,4909146,6.97269,44.14896,"h18v04_13480802",2470,"MOU",0.002,0.388
"1153",16498234,"MSB_1370","YES","h18v04",146754,4763434,1.79986,42.83854,"h18v04_16498234",1370,"MSB",0.468,0.893
"1155",16512629,"MSB_1600","YES","h18v04",145596,4762739,1.78548,42.83229,"h18v04_16512629",1600,"MSB",0.066,0.864
"1156",16527029,"MSB_2000","YES","h18v04",145596,4762044,1.7853,42.82604,"h18v04_16527029",2000,"MSB",0.008,0.81
"1157",16531828,"MSB_2200","YES","h18v04",145364,4761812,1.7824,42.82396,"h18v04_16531828",2200,"MSB",0.002,0.748
"1158",16541426,"MSB_2400","YES","h18v04",144901,4761349,1.7766,42.81979,"h18v04_16541426",2400,"MSB",0,0.601
"1159",11450221,"NEV_2010","YES","h18v04",514393,5007136,6.54566,45.03021,"h18v04_11450221",2010,"NEV",0,0.807
"1160",11455018,"NEV_2200","YES","h18v04",513698,5006905,6.53658,45.02812,"h18v04_11455018",2200,"NEV",0,0.757
"1161",11479016,"NEV_2350","YES","h18v04",513235,5005746,6.5295,45.01771,"h18v04_11479016",2350,"NEV",0,0.454
"1162",11488614,"NEV_2500","YES","h18v04",512771,5005283,6.52313,45.01354,"h18v04_11488614",2500,"NEV",0,0.459
