"","Date","idplot","TG1","TG4","DSN_T_ISBA"
"8706","2021-10-01",186,281.79478995393,283.714311629962,0
"8707","2021-10-02",186,283.489249560214,285.274498514621,0
"8708","2021-10-03",186,277.844746362185,280.497336968975,0
"8709","2021-10-04",186,277.505032324256,279.664790975479,0
"8710","2021-10-05",186,278.399777358739,279.826339286056,0
"8711","2021-10-06",186,277.249438413897,279.526034466146,0
"8712","2021-10-07",186,275.840563938088,278.78669314263,0
"8713","2021-10-08",186,276.762582567936,279.191736965711,0
"8714","2021-10-09",186,277.25408404647,279.538346666523,0
"8715","2021-10-10",186,276.27476448826,278.860658268038,0
"8716","2021-10-11",186,276.121826739065,278.802098949774,0
"8717","2021-10-12",186,276.421382144347,278.921370059511,0
"8718","2021-10-13",186,274.935381524428,277.673759846723,0
"8719","2021-10-14",186,275.917762343911,278.584684913139,0
"8720","2021-10-15",186,275.345737209801,278.088500839325,0
"8721","2021-10-16",186,276.483703779513,278.803632385465,0
"8722","2021-10-17",186,276.990174585749,279.412665455079,0
"8723","2021-10-18",186,278.96441667571,280.981873613319,0
"8724","2021-10-19",186,281.590536912919,282.68233064881,0
"8725","2021-10-20",186,281.883850009117,283.55279086392,0
"8726","2021-10-21",186,278.136003053773,280.020704364315,0
"8727","2021-10-22",186,274.723243567139,277.954647447603,0
"8728","2021-10-23",186,274.124158785562,277.083397031195,0
"8729","2021-10-24",186,274.086554676932,276.951511319293,0
"8730","2021-10-25",186,276.926846879273,278.652323991825,0
"8731","2021-10-26",186,274.543684589932,277.218496114592,0
"8732","2021-10-27",186,274.450059343439,277.13993958286,0
"8733","2021-10-28",186,274.848023835273,277.196260038067,0
"8734","2021-10-29",186,278.033350789919,278.723500039628,0
"8735","2021-10-30",186,277.523255659754,279.266057607444,0
"8736","2021-10-31",186,280.160447301628,281.36730256663,0
"8737","2021-11-01",186,276.109934641367,277.690665111341,0
"8738","2021-11-02",186,275.989632363119,277.674089922764,0
"8739","2021-11-03",186,272.060114123388,274.511337940045,0.000466171985028899
"8740","2021-11-04",186,273.383894279286,275.049961683265,0.00309398288758484
"8741","2021-11-05",186,271.262344662846,273.419654960278,0
"8742","2021-11-06",186,271.478505963792,273.20813906645,0
"8743","2021-11-07",186,275.956188091249,276.085258287491,0
"8744","2021-11-08",186,271.54606375795,273.697215076775,0
"8745","2021-11-09",186,276.431759165636,276.744772343538,0
"8746","2021-11-10",186,276.167087798535,276.673505244121,0
"8747","2021-11-11",186,276.367841976833,276.811343402895,0
"8748","2021-11-12",186,275.004068722682,276.451677154527,0
"8749","2021-11-13",186,276.582322979161,277.176681246435,0
"8750","2021-11-14",186,273.791699031706,274.909948325156,0
"8751","2021-11-15",186,273.108927527399,274.43715823289,0
"8752","2021-11-16",186,272.576173517937,273.84341718032,0
"8753","2021-11-17",186,271.983775477277,273.532465428752,0
"8754","2021-11-18",186,271.675695259132,273.091720807729,0
"8755","2021-11-19",186,271.711581828188,273.088817315883,0
"8756","2021-11-20",186,273.033726961938,273.838303317931,0
"8757","2021-11-21",186,273.411094320565,274.594805565635,0
"8758","2021-11-22",186,271.807026693551,272.999354552744,0
"8759","2021-11-23",186,272.515405372711,273.278942874058,0.0159033812757229
"8760","2021-11-24",186,273.176812694642,273.57064311805,0.103417206204467
"8761","2021-11-25",186,273.264232954428,273.666061674896,0.131411755204301
"8762","2021-11-26",186,273.286406601059,273.703950505183,0.1257775057997
"8763","2021-11-27",186,273.553929630392,273.895024775647,0.164470099588934
"8764","2021-11-28",186,273.802600500287,274.118661803627,0.203095051401103
"8765","2021-11-29",186,273.631140081503,274.021261011727,0.202163823368532
"8766","2021-11-30",186,273.443532502056,273.861723034593,0.18836539322929
"8767","2021-12-01",186,273.688773446168,273.915476864046,0.192142104000959
"8768","2021-12-02",186,273.774816933252,274.093373344502,0.241042303894837
"8769","2021-12-03",186,273.630210808999,273.995609326408,0.216134465511613
"8770","2021-12-04",186,273.42749558585,273.825808647626,0.199517517679414
"8771","2021-12-05",186,273.488753957629,273.785152714878,0.281270207780453
"8772","2021-12-06",186,273.609536594688,273.925977168443,0.266659576035432
"8773","2021-12-07",186,273.481728214645,273.836514714829,0.283595805547914
"8774","2021-12-08",186,273.340551243913,273.713058360779,0.34542835856744
"8775","2021-12-09",186,273.537826989321,273.815001285382,0.497240139484462
"8776","2021-12-10",186,273.462122639147,273.789805825948,0.935605600622335
"8777","2021-12-11",186,273.351138897223,273.696710702515,0.859044407912901
"8778","2021-12-12",186,273.366349554796,273.625812150692,0.810158901297875
"8779","2021-12-13",186,273.370515323435,273.687859910044,0.774633614289549
"8780","2021-12-14",186,273.290518833844,273.620346656072,0.743906400734676
"8781","2021-12-15",186,273.469887374572,273.734811369051,0.720578525260995
"8782","2021-12-16",186,273.411568014853,273.709345543573,0.703094983069236
"8783","2021-12-17",186,273.336897080094,273.646982553533,0.688048632356483
"8784","2021-12-18",186,273.270039734739,273.584281595281,0.675552344024843
"8785","2021-12-19",186,273.291307168075,273.588254251296,0.665384419908189
"8786","2021-12-20",186,273.246367946121,273.548463083099,0.656259314506939
"8787","2021-12-21",186,273.358051732668,273.631680296727,0.64917180077544
"8788","2021-12-22",186,273.321332989297,273.603922571618,0.642544852992648
"8789","2021-12-23",186,273.280821066594,273.567242450028,0.635792858999765
"8790","2021-12-24",186,273.242947014831,273.530351299861,0.628333478012058
"8791","2021-12-25",186,273.419390634902,273.665319721895,0.622188803301884
"8792","2021-12-26",186,273.392726874409,273.649436429708,0.611866701068227
"8793","2021-12-27",186,273.351405259049,273.61794610894,0.559474506143279
"8794","2021-12-28",186,273.300987037922,273.569992588291,0.419236426709714
"8795","2021-12-29",186,273.263086769751,273.533431302713,0.349834392603093
"8796","2021-12-30",186,273.355493373463,273.559449683601,0.338143303481971
"8797","2021-12-31",186,273.362417191909,273.604662438567,0.325871801572589
"8798","2022-01-01",186,273.325235836454,273.577987418822,0.316354070107234
"8799","2022-01-02",186,273.284918443108,273.542741215529,0.308964244102012
"8800","2022-01-03",186,273.246698676431,273.506794997341,0.302636776332004
"8801","2022-01-04",186,273.333275378229,273.564275221809,0.333248453951457
"8802","2022-01-05",186,273.307773247693,273.549771764906,0.342458963117457
"8803","2022-01-06",186,273.283305509559,273.52780486835,0.337907031535025
"8804","2022-01-07",186,273.281662743889,273.51756184918,0.35877300726185
"8805","2022-01-08",186,273.244055955695,273.491119729938,0.377001605510351
"8806","2022-01-09",186,273.382695134551,273.58275007522,0.610217969286733
"8807","2022-01-10",186,273.381697825221,273.596735896752,0.658474060133059
"8808","2022-01-11",186,273.445702372327,273.641877130607,0.637337582886289
"8809","2022-01-12",186,273.441462180329,273.650235698251,0.622771564222814
"8810","2022-01-13",186,273.423395493444,273.638229867809,0.61191295879229
"8811","2022-01-14",186,273.401343339151,273.61995215343,0.602994123535609
"8812","2022-01-15",186,273.377775617387,273.598882232468,0.595890132526462
"8813","2022-01-16",186,273.35358896906,273.576441299987,0.58943466575917
"8814","2022-01-17",186,273.329491124629,273.553481024429,0.583459934118779
"8815","2022-01-18",186,273.305820318773,273.530492773836,0.578090129317148
"8816","2022-01-19",186,273.282874473554,273.507849873468,0.573813308403922
"8817","2022-01-20",186,273.260805703409,273.485770551863,0.582258149918125
"8818","2022-01-21",186,273.239884652863,273.464532199232,0.577632232399108
"8819","2022-01-22",186,273.307470718452,273.509207896323,0.573356185969401
"8820","2022-01-23",186,273.294106423718,273.503813303061,0.568944667810036
"8821","2022-01-24",186,273.279505979488,273.490894023671,0.564914457470681
"8822","2022-01-25",186,273.266315801842,273.47781223851,0.560775604641283
"8823","2022-01-26",186,273.257824224408,273.468092300428,0.556018886008022
"8824","2022-01-27",186,273.249139911471,273.458662564545,0.550565369783074
"8825","2022-01-28",186,273.239504223876,273.44844482024,0.545145973533132
"8826","2022-01-29",186,273.228925189702,273.437575965852,0.530445425101944
"8827","2022-01-30",186,273.279116654781,273.444370945347,0.517947095918004
"8828","2022-01-31",186,273.293712557717,273.485755686291,0.538795330356656
"8829","2022-02-01",186,273.281817461309,273.478493064419,0.526789046205366
"8830","2022-02-02",186,273.267068559516,273.465753504498,0.500369590757858
"8831","2022-02-03",186,273.252068185977,273.451596378384,0.480702248939741
"8832","2022-02-04",186,273.237507264536,273.437237192375,0.479544794130544
"8833","2022-02-05",186,273.22298448779,273.422983517775,0.468321624166697
"8834","2022-02-06",186,273.314715819189,273.475128869569,0.460775705931676
"8835","2022-02-07",186,273.320987487148,273.499149453365,0.43393392368331
"8836","2022-02-08",186,273.310633703747,273.493756462561,0.409411168554159
"8837","2022-02-09",186,273.297053322073,273.482353558319,0.384344391357557
"8838","2022-02-10",186,273.283662167412,273.470346905561,0.363304148278888
"8839","2022-02-11",186,273.270033494324,273.457518691308,0.347000106209472
"8840","2022-02-12",186,273.256723010269,273.444802182043,0.331555754138634
"8841","2022-02-13",186,273.242201841528,273.430512678148,0.310316598627958
"8842","2022-02-14",186,273.230059805924,273.418213845333,0.350449052847079
"8843","2022-02-15",186,273.217610361143,273.406121447756,0.351778236573966
"8844","2022-02-16",186,273.270789262222,273.435200963508,0.300242876007426
"8845","2022-02-17",186,273.265983649036,273.440806518654,0.274158527312357
"8846","2022-02-18",186,273.254774065377,273.432346208202,0.250373979274737
"8847","2022-02-19",186,273.244200949491,273.423513015135,0.276536570260084
"8848","2022-02-20",186,273.23268002786,273.413129864742,0.256649332258288
"8849","2022-02-21",186,273.22013735027,273.400405589123,0.215059506803236
"8850","2022-02-22",186,273.209245395346,273.389289481854,0.191716163577826
"8851","2022-02-23",186,273.111199989252,273.379786963502,0.164824005118813
"8852","2022-02-24",186,273.314097712695,273.464466523435,0.150588240995093
"8853","2022-02-25",186,272.383314457833,273.067879975983,0.14740642044217
"8854","2022-02-26",186,272.662629850339,273.067947255583,0.125345393585278
"8855","2022-02-27",186,273.189540589638,273.308363487717,0.102406335628807
"8856","2022-02-28",186,272.080308981417,272.909784374318,0.0812236322210626
"8857","2022-03-01",186,271.951887269598,272.83589347765,0.0513105116311531
"8858","2022-03-02",186,272.96102180805,273.155054294445,0.0588378339733213
"8859","2022-03-03",186,273.134700330765,273.19614533593,0.0484839324496047
"8860","2022-03-04",186,272.792735327702,273.08329563099,0.0479075551594291
"8861","2022-03-05",186,272.760939998517,273.085172629804,0.0444968430179884
"8862","2022-03-06",186,272.608801716719,273.024608821561,0.0404468482444332
"8863","2022-03-07",186,271.873789146486,272.768802639243,0.0167509490542965
"8864","2022-03-08",186,272.943588428743,273.102910876136,0.0766133590228136
"8865","2022-03-09",186,272.693612223874,273.002049783525,0.0388531244280612
"8866","2022-03-10",186,272.835188919857,273.057917983888,0.0332107320162333
"8867","2022-03-11",186,272.965195268139,273.081245617712,0.0443879387069521
"8868","2022-03-12",186,272.917215580271,273.094068088495,0.0660553035281489
"8869","2022-03-13",186,272.864899193321,273.057645517552,0.0637823543269905
"8870","2022-03-14",186,273.152798048866,273.183540749645,0.0129980963472122
"8871","2022-03-15",186,272.303231229513,273.350878188653,0
"8872","2022-03-16",186,274.090093288534,275.021277859607,0
"8873","2022-03-17",186,275.131310339152,275.262627180175,0
"8874","2022-03-18",186,272.344528444397,273.114826164832,0
"8875","2022-03-19",186,272.825201413659,273.26453573112,0
"8876","2022-03-20",186,273.115313214782,274.079648981262,0
"8877","2022-03-21",186,272.420392259413,274.238588247431,0
"8878","2022-03-22",186,271.939390172168,273.752939434937,0
"8879","2022-03-23",186,271.90781451552,274.062530293292,0
"8880","2022-03-24",186,274.207645236836,275.399430722779,0
"8881","2022-03-25",186,273.756588208295,276.040090851738,0
"8882","2022-03-26",186,273.208959634352,274.308154542327,0
"8883","2022-03-27",186,272.408600030872,274.425562246567,0
"8884","2022-03-28",186,274.870461306166,276.564383289675,0
"8885","2022-03-29",186,275.167971922931,275.73150840362,0
"8886","2022-03-30",186,273.94771799362,274.917917984117,0
"8887","2022-03-31",186,272.097488067954,273.133592166251,0.00917533189435134
"8888","2022-04-01",186,272.880932446244,273.298746458667,0.040203450360732
"8889","2022-04-02",186,273.088167678798,273.417662865655,0.0737229926874634
"8890","2022-04-03",186,273.032589342686,273.435479960971,0.0794813823319246
"8891","2022-04-04",186,272.763493385911,273.215548758888,0.0563421614485842
"8892","2022-04-05",186,272.703047047574,273.112184009389,0.0089195458584591
"8893","2022-04-06",186,272.174527915335,273.383255114747,0
"8894","2022-04-07",186,274.496080244835,276.147152353706,0
"8895","2022-04-08",186,274.768645161908,276.272561017059,0
"8896","2022-04-09",186,271.844158847937,273.549191375351,0
"8897","2022-04-10",186,276.146678043641,277.6189647372,0
"8898","2022-04-11",186,278.081417651424,279.080300325947,0
"8899","2022-04-12",186,277.370168546724,279.6037489911,0
"8900","2022-04-13",186,273.602213679046,275.594946867743,0
"8901","2022-04-14",186,274.949423476406,276.917795603813,0
"8902","2022-04-15",186,275.757816932359,277.728972876673,0
"8903","2022-04-16",186,275.748716906116,278.171511732351,0
"8904","2022-04-17",186,276.939625768015,279.44588054361,0
"8905","2022-04-18",186,278.857779494382,280.339786959,0
"8906","2022-04-19",186,273.652084922824,276.222366310369,0
"8907","2022-04-20",186,273.521254100183,274.950833108773,0.0245028993755251
"8908","2022-04-21",186,274.245685094177,275.090648364643,0
"8909","2022-04-22",186,276.928293011631,277.647228222007,0
"8910","2022-04-23",186,276.26068265053,277.095878942817,0
"8911","2022-04-24",186,274.518395642739,276.440321962799,0
"8912","2022-04-25",186,275.72499117817,277.495876596865,0
"8913","2022-04-26",186,278.114881774304,279.731064561054,0
"8914","2022-04-27",186,276.527558268882,278.478230450384,0
"8915","2022-04-28",186,280.201586003426,280.440927165945,0
"8916","2022-04-29",186,280.847278937936,281.844084176211,0
"8917","2022-04-30",186,276.747454572582,278.562647073747,0
"8918","2022-05-01",186,280.339955902486,280.996183043235,0
"8919","2022-05-02",186,278.179658688778,278.932789921755,0
"8920","2022-05-03",186,278.050332215486,278.630248061856,0
"8921","2022-05-04",186,277.608494276014,278.444209860269,0
"8922","2022-05-05",186,277.988046463796,278.618616590855,0
"8923","2022-05-06",186,279.153858397985,279.421851892221,0
"8924","2022-05-07",186,279.382172175126,280.377455679788,0
"8925","2022-05-08",186,280.124183320594,280.833904194081,0
"8926","2022-05-09",186,279.514427699738,280.464814114029,0
"8927","2022-05-10",186,281.663571639725,282.700672748492,0
"8928","2022-05-11",186,283.051397555515,284.277357994191,0
"8929","2022-05-12",186,282.379820565105,284.259005425826,0
"8930","2022-05-13",186,283.520068582369,284.545591298288,0
"8931","2022-05-14",186,283.279598745804,284.13218735496,0
"8932","2022-05-15",186,284.016251189463,284.965413546546,0
"8933","2022-05-16",186,284.337179739814,285.259652791127,0
"8934","2022-05-17",186,286.790956516886,287.373973571975,0
"8935","2022-05-18",186,285.977700506937,287.189577015332,0
"8936","2022-05-19",186,286.120184179841,287.201020510779,0
"8937","2022-05-20",186,285.83173050161,286.628518235617,0
"8938","2022-05-21",186,286.041530264864,287.057638952013,0
"8939","2022-05-22",186,285.248642756885,286.74595688027,0
"8940","2022-05-23",186,279.772700654587,282.26064596151,0
"8941","2022-05-24",186,277.380925188981,278.818467570453,0
"8942","2022-05-25",186,278.588413106825,279.369190515301,0
"8943","2022-05-26",186,280.393883912002,281.070648517184,0
"8944","2022-05-27",186,282.054073342477,282.425245271349,0
"8945","2022-05-28",186,282.788703397766,283.654578519615,0
"8946","2022-05-29",186,282.346700178236,283.444609986906,0
"8947","2022-05-30",186,282.286560854696,282.799271686932,0
"8948","2022-05-31",186,283.963722553659,283.749040380115,0
"8949","2022-06-01",186,287.107508315811,287.046065712207,0
"8950","2022-06-02",186,283.586074606162,285.953459065013,0
"8951","2022-06-03",186,286.205934989901,286.712632184359,0
"8952","2022-06-04",186,286.160564444906,287.751125086815,0
"8953","2022-06-05",186,284.324214665338,284.535101798955,0
"8954","2022-06-06",186,283.968906023093,285.272122465152,0
"8955","2022-06-07",186,282.481558229046,283.735445410313,0
"8956","2022-06-08",186,282.598252103676,283.163935986403,0
"8957","2022-06-09",186,283.01833412939,283.676979303058,0
"8958","2022-06-10",186,284.528940947565,284.852601242316,0
"8959","2022-06-11",186,287.337163444242,287.269396371423,0
"8960","2022-06-12",186,286.472187867199,286.438057963843,0
"8961","2022-06-13",186,288.991664761517,288.20111635522,0
"8962","2022-06-14",186,288.729837159043,289.010591265337,0
"8963","2022-06-15",186,289.391412380553,289.640178841833,0
"8964","2022-06-16",186,290.510335788291,290.682874749928,0
"8965","2022-06-17",186,291.555229639144,291.842624034357,0
"8966","2022-06-18",186,292.212077167104,292.39041478415,0
