"site","idsite","idplot","codeplot","idtiers","cd_nom","lb_nom","observateur_1","observateur_2","date"
"Argentière",2,32,"ARG_1620","b",87607,"Campanula barbata","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",87720,"Campanula rotundifolia","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",102235,"Hieracium murorum","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",106839,"Luzula luzulina","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",106846,"Luzula nivea","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",113407,"Phyteuma spicatum","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",113432,"Picea abies","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",115470,"Potentilla erecta","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",115813,"Prenanthes purpurea","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",124205,"Solidago virgaurea","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","b",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",80591,"Agrostis capillaris","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",86101,"Blechnum spicant","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",87299,"Calamagrostis villosa","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",87607,"Campanula barbata","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",193276,"Hieracium","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",102235,"Hieracium murorum","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",136974,"Juniperus communis subsp. nana","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",104528,"Knautia dipsacifolia","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",106839,"Luzula luzulina","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",113407,"Phyteuma spicatum","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",115470,"Potentilla erecta","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",117679,"Rhododendron ferrugineum","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","c",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
